City,2019,2020,2021
"Akron, OH",51827,55232.0,58735.0
"Albany, GA",38118,42006.0,45619.0
"Albany-Lebanon, OR",44501,48357.0,52695.0
"Albany-Schenectady-Troy, NY",59477,63951.0,67788.0
"Albuquerque, NM",44884,48514.0,52263.0
"Alexandria, LA",44057,48326.0,51738.0
"Allentown-Bethlehem-Easton, PA-NJ",55269,58454.0,62618.0
"Altoona, PA",47034,51007.0,54470.0
"Amarillo, TX",49109,52617.0,56248.0
"Ames, IA",44630,46787.0,49320.0
"Anchorage, AK",62824,64367.0,67085.0
"Ann Arbor, MI",61447,64636.0,68688.0
"Anniston-Oxford, AL",36869,39546.0,42621.0
"Appleton, WI",52516,55177.0,58312.0
"Asheville, NC",48247,50891.0,54827.0
"Athens-Clarke County, GA",42765,45046.0,48323.0
"Atlanta-Sandy Springs-Alpharetta, GA",56120,58963.0,63219.0
"Atlantic City-Hammonton, NJ",50196,55273.0,58310.0
"Auburn-Opelika, AL",39355,41760.0,45002.0
"Augusta-Richmond County, GA-SC",43905,46875.0,49432.0
"Austin-Round Rock-Georgetown, TX",63466,64916.0,71372.0
"Bakersfield, CA",39477,44063.0,45961.0
"Baltimore-Columbia-Towson, MD",62379,66328.0,70490.0
"Bangor, ME",43086,47574.0,50480.0
"Barnstable Town, MA",74107,79136.0,83191.0
"Baton Rouge, LA",49639,53102.0,56396.0
"Battle Creek, MI",40497,44796.0,47789.0
"Bay City, MI",43230,47430.0,50396.0
"Beaumont-Port Arthur, TX",44816,46711.0,49006.0
"Beckley, WV",41334,42783.0,46166.0
"Bellingham, WA",51683,54927.0,58137.0
"Bend, OR",58666,63872.0,67743.0
"Billings, MT",53437,56515.0,59698.0
"Binghamton, NY",44318,48318.0,51295.0
"Birmingham-Hoover, AL",52310,55086.0,59107.0
"Bismarck, ND",58252,60766.0,64134.0
"Blacksburg-Christiansburg, VA",38907,41322.0,44904.0
"Bloomington, IL",50152,55203.0,58503.0
"Bloomington, IN",45426,48386.0,51899.0
"Bloomsburg-Berwick, PA",46588,50436.0,53309.0
"Boise City, ID",48396,52174.0,55487.0
"Boston-Cambridge-Newton, MA-NH",81126,86239.0,92290.0
"Boulder, CO",79698,83173.0,89593.0
"Bowling Green, KY",37772,40610.0,43282.0
"Bremerton-Silverdale-Port Orchard, WA",58290,62308.0,67845.0
"Bridgeport-Stamford-Norwalk, CT",116996,119366.0,127391.0
"Brownsville-Harlingen, TX",30361,34040.0,37861.0
"Brunswick, GA",44776,48311.0,51400.0
"Buffalo-Cheektowaga, NY",49961,54462.0,56808.0
"Burlington, NC",41493,44418.0,48118.0
"Burlington-South Burlington, VT",59027,62379.0,65083.0
"California-Lexington Park, MD",58853,61874.0,65762.0
"Canton-Massillon, OH",45591,48932.0,52152.0
"Cape Coral-Fort Myers, FL",56549,59300.0,62885.0
"Cape Girardeau, MO-IL",42998,45994.0,48447.0
"Carbondale-Marion, IL",42199,45463.0,48769.0
"Carson City, NV",50973,55239.0,60445.0
"Casper, WY",69791,67229.0,70175.0
"Cedar Rapids, IA",52697,55865.0,59063.0
"Chambersburg-Waynesboro, PA",48017,51665.0,55139.0
"Champaign-Urbana, IL",47211,51362.0,55335.0
"Charleston, WV",45195,48229.0,51638.0
"Charleston-North Charleston, SC",55099,56887.0,60754.0
"Charlotte-Concord-Gastonia, NC-SC",54809,57713.0,62056.0
"Charlottesville, VA",69409,72025.0,77070.0
"Chattanooga, TN-GA",48210,50566.0,53906.0
"Cheyenne, WY",53181,54959.0,58646.0
"Chicago-Naperville-Elgin, IL-IN-WI",63024,66474.0,71992.0
"Chico, CA",46174,51402.0,54694.0
"Cincinnati, OH-KY-IN",56152,59502.0,63116.0
"Clarksville, TN-KY",41503,44572.0,47519.0
"Cleveland, TN",39329,42279.0,45404.0
"Cleveland-Elyria, OH",54867,58215.0,61948.0
"Coeur d'Alene, ID",47745,51109.0,54406.0
"College Station-Bryan, TX",42228,44358.0,47803.0
"Colorado Springs, CO",51113,54817.0,58736.0
"Columbia, MO",48068,50767.0,53583.0
"Columbia, SC",47430,49926.0,53286.0
"Columbus, GA-AL",40594,43539.0,47349.0
"Columbus, IN",54102,57535.0,61136.0
"Columbus, OH",52627,56537.0,59867.0
"Corpus Christi, TX",47023,48875.0,52612.0
"Corvallis, OR",47290,50628.0,54174.0
"Crestview-Fort Walton Beach-Destin, FL",56856,60205.0,64660.0
"Cumberland, MD-WV",41971,45163.0,47576.0
"Dallas-Fort Worth-Arlington, TX",60053,61824.0,66727.0
"Dalton, GA",38282,41636.0,44668.0
"Danville, IL",40054,44975.0,49265.0
"Daphne-Fairhope-Foley, AL",48380,51348.0,54659.0
"Davenport-Moline-Rock Island, IA-IL",49005,52697.0,56181.0
"Dayton-Kettering, OH",48913,52599.0,55572.0
"Decatur, AL",39731,42940.0,46533.0
"Decatur, IL",47492,51804.0,56548.0
"Deltona-Daytona Beach-Ormond Beach, FL",47312,49310.0,53559.0
"Denver-Aurora-Lakewood, CO",68591,71728.0,78150.0
"Des Moines-West Des Moines, IA",55183,58725.0,61833.0
"Detroit-Warren-Dearborn, MI",53428,57755.0,60965.0
"Dothan, AL",42868,45839.0,49343.0
"Dover, DE",44490,46542.0,50432.0
"Dubuque, IA",50370,53684.0,56782.0
"Duluth, MN-WI",47006,50062.0,53734.0
"Durham-Chapel Hill, NC",55548,58491.0,63375.0
"East Stroudsburg, PA",45196,49469.0,53118.0
"Eau Claire, WI",48595,51626.0,54814.0
"El Centro, CA",37904,45021.0,47653.0
"Elizabethtown-Fort Knox, KY",43113,46540.0,50016.0
"Elkhart-Goshen, IN",45873,49321.0,55007.0
"Elmira, NY",45402,49108.0,52360.0
"El Paso, TX",37883,40763.0,44058.0
"Enid, OK",43701,44850.0,48861.0
"Erie, PA",45883,49969.0,52747.0
"Eugene-Springfield, OR",46752,51272.0,55146.0
"Evansville, IN-KY",49485,52939.0,56650.0
"Fairbanks, AK",59011,61856.0,65314.0
"Fargo, ND-MN",54323,58002.0,62021.0
"Farmington, NM",36599,38835.0,41735.0
"Fayetteville, NC",38364,41563.0,45542.0
"Fayetteville-Springdale-Rogers, AR",64552,66213.0,70594.0
"Flagstaff, AZ",49454,54008.0,56914.0
"Flint, MI",42141,46371.0,49399.0
"Florence, SC",43528,46546.0,50386.0
"Florence-Muscle Shoals, AL",38390,41516.0,44605.0
"Fond du Lac, WI",49996,53124.0,56378.0
"Fort Collins, CO",56851,60219.0,64258.0
"Fort Smith, AR-OK",39548,41864.0,45134.0
"Fort Wayne, IN",47392,50602.0,54623.0
"Fresno, CA",42987,48312.0,51422.0
"Gadsden, AL",37407,39795.0,42558.0
"Gainesville, FL",44323,47251.0,50623.0
"Gainesville, GA",47263,49925.0,53920.0
"Gettysburg, PA",49380,52801.0,55752.0
"Glens Falls, NY",48193,52941.0,56040.0
"Goldsboro, NC",42187,45415.0,49881.0
"Grand Forks, ND-MN",49829,54766.0,58295.0
"Grand Island, NE",44417,48123.0,52472.0
"Grand Junction, CO",46318,48884.0,52121.0
"Grand Rapids-Kentwood, MI",50762,54794.0,57667.0
"Grants Pass, OR",44048,49062.0,54466.0
"Great Falls, MT",47303,50576.0,53765.0
"Greeley, CO",50117,52354.0,56553.0
"Green Bay, WI",52398,55365.0,58240.0
"Greensboro-High Point, NC",44799,47770.0,51872.0
"Greenville, NC",45951,49350.0,53200.0
"Greenville-Anderson, SC",46017,47924.0,50908.0
"Gulfport-Biloxi, MS",38424,41852.0,44488.0
"Hagerstown-Martinsburg, MD-WV",44846,47882.0,51102.0
"Hammond, LA",40912,44234.0,47076.0
"Hanford-Corcoran, CA",36599,41397.0,43176.0
"Harrisburg-Carlisle, PA",53645,57640.0,60517.0
"Harrisonburg, VA",40770,43425.0,47217.0
"Hartford-East Hartford-Middletown, CT",64078,67011.0,69951.0
"Hattiesburg, MS",38676,41449.0,44538.0
"Hickory-Lenoir-Morganton, NC",41556,44678.0,48529.0
"Hilton Head Island-Bluffton, SC",59860,62682.0,66256.0
"Hinesville, GA",35207,38128.0,41012.0
"Homosassa Springs, FL",39985,42292.0,45050.0
"Hot Springs, AR",41510,44472.0,46897.0
"Houma-Thibodaux, LA",44489,46898.0,49613.0
"Houston-The Woodlands-Sugar Land, TX",60173,61133.0,64837.0
"Huntington-Ashland, WV-KY-OH",41213,44258.0,47505.0
"Huntsville, AL",51384,54577.0,57815.0
"Idaho Falls, ID",48207,51985.0,55084.0
"Indianapolis-Carmel-Anderson, IN",57156,61155.0,65805.0
"Iowa City, IA",55518,57345.0,60316.0
"Ithaca, NY",45232,48541.0,51377.0
"Jackson, MI",39775,44152.0,47503.0
"Jackson, MS",45026,48872.0,51982.0
"Jackson, TN",41672,44926.0,48718.0
"Jacksonville, FL",52086,55158.0,59271.0
"Jacksonville, NC",44307,46972.0,50869.0
"Janesville-Beloit, WI",45883,49129.0,52787.0
"Jefferson City, MO",44668,48551.0,51286.0
"Johnson City, TN",41712,44767.0,48257.0
"Johnstown, PA",43120,46609.0,49472.0
"Jonesboro, AR",38086,41439.0,44554.0
"Joplin, MO",39800,41646.0,44292.0
"Kahului-Wailuku-Lahaina, HI",52301,53586.0,58520.0
"Kalamazoo-Portage, MI",50835,54954.0,58524.0
