gender,age,income
M,37,65000
M,34,51000
M,37,58000
M,38,75000
M,36,58000
M,35,57000
M,35,89000
M,37,69000
M,34,62000
M,33,54000
M,33,74000
M,35,76000
M,36,47000
M,36,64000
M,40,61000
M,34,70000
M,38,64000
M,33,50000
M,34,79000
M,31,51000
M,36,78000
M,39,56000
M,34,62000
M,36,53000
M,39,56000
M,38,51000
M,37,64000
M,39,75000
M,37,66000
M,38,57000
M,35,65000
M,35,71000
M,35,49000
M,34,65000
M,34,57000
M,39,59000
M,39,57000
M,37,102000
M,36,99000
M,34,48000
M,37,75000
M,36,141000
M,31,42000
M,38,63000
M,36,53000
M,38,58000
M,43,69000
M,36,54000
M,37,54000
M,39,66000
M,35,77000
M,36,65000
M,33,61000
M,39,57000
M,35,69000
M,37,85000
M,37,60000
M,36,65000
M,35,79000
M,36,60000
M,35,70000
M,30,52000
M,37,50000
M,37,68000
M,31,53000
M,34,65000
M,34,59000
M,33,52000
M,35,67000
M,34,66000
M,36,60000
M,36,71000
M,33,74000
M,34,49000
M,39,60000
M,36,61000
M,37,51000
M,37,63000
M,42,59000
M,35,86000
M,37,55000
M,36,56000
M,36,63000
M,38,59000
M,36,70000
M,36,60000
M,31,52000
M,35,55000
M,33,61000
M,38,58000
M,31,49000
M,34,54000
M,37,58000
M,38,61000
M,36,63000
M,32,71000
M,33,68000
M,34,46000
M,31,50000
M,33,78000
M,34,63000
M,36,55000
M,36,56000
M,34,49000
M,34,48000
M,36,50000
M,34,60000
M,31,57000
M,37,47000
M,35,56000
M,35,59000
M,39,61000
M,35,55000
M,34,58000
M,38,57000
M,34,64000
M,41,60000
M,35,59000
M,35,59000
M,33,62000
M,36,57000
M,33,59000
M,36,56000
M,36,49000
M,34,52000
M,37,67000
M,35,52000
M,34,49000
M,38,54000
M,42,73000
M,29,45000
M,40,52000
M,35,55000
M,36,64000
M,34,73000
M,35,57000
M,37,52000
M,35,57000
M,36,54000
M,28,55000
M,36,58000
M,36,56000
M,39,53000
M,40,55000
M,33,49000
M,35,49000
M,38,65000
M,34,65000
M,32,57000
M,31,53000
M,40,67000
M,37,52000
M,37,64000
M,34,58000
M,35,56000
M,45,45000
M,36,68000
M,36,56000
M,28,45000
M,34,50000
M,33,57000
M,33,52000
M,39,58000
M,37,55000
M,36,55000
M,34,63000
M,35,59000
M,28,52000
M,35,54000
M,37,60000
M,32,56000
M,37,52000
M,35,76000
M,37,79000
M,29,56000
M,34,59000
M,37,51000
M,29,38000
M,39,63000
M,34,63000
M,30,51000
M,38,81000
M,38,68000
M,30,138000
M,36,73000
M,35,79000
M,36,68000
M,35,51000
M,32,58000
M,35,52000
M,35,55000
M,35,55000
M,38,49000
M,38,71000
M,36,50000
M,36,51000
M,39,100000
M,34,77000
M,37,71000
M,36,68000
M,38,66000
M,46,77000
M,46,58000
M,42,50000
M,29,59000
M,31,58000
M,34,63000
M,36,67000
M,35,71000
M,36,59000
M,37,61000
M,35,55000
M,36,81000
M,41,61000
M,38,60000
M,35,64000
M,39,73000
M,42,72000
M,33,50000
M,36,75000
M,36,69000
M,37,71000
M,26,56000
M,36,63000
M,34,73000
M,36,64000
M,38,61000
M,37,79000
M,36,73000
M,33,56000
M,39,60000
M,36,70000
M,37,65000
M,36,56000
M,35,49000
M,35,73000
M,37,54000
M,36,52000
M,37,51000
M,37,59000
M,35,58000
M,33,70000
M,41,62000
M,34,66000
M,33,59000
M,35,80000
M,37,136000
M,38,73000
M,37,94000
M,42,77000
M,34,82000
M,39,89000
M,34,59000
M,35,98000
M,38,64000
M,35,61000
M,35,54000
M,33,66000
M,33,79000
M,35,62000
M,35,56000
M,36,59000
M,37,63000
M,37,68000
M,35,54000
M,35,53000
M,39,57000
M,32,64000
M,36,51000
M,37,64000
M,35,58000
M,39,64000
M,58,71000
M,36,60000
M,36,86000
M,37,58000
M,35,66000
M,35,67000
M,32,47000
M,36,72000
M,35,64000
M,35,63000
M,30,53000
M,33,54000
M,36,59000
M,34,54000
M,39,56000
M,34,62000
M,38,56000
M,38,62000
M,37,62000
M,37,71000
M,32,56000
M,37,64000
M,39,54000
M,35,49000
F,39,53000
F,37,41000
F,38,47000
F,40,61000
F,38,47000
F,37,46000
F,37,73000
F,40,56000
F,35,50000
F,35,44000
F,34,60000
F,36,62000
F,39,38000
F,37,52000
F,43,49000
F,36,57000
F,40,52000
F,35,40000
F,35,64000
F,32,41000
F,38,64000
F,41,45000
F,36,51000
F,39,43000
F,41,45000
F,41,41000
F,38,52000
F,41,61000
F,38,54000
F,40,46000
F,38,53000
F,37,58000
F,37,40000
F,35,53000
F,36,47000
F,41,48000
F,41,46000
F,39,83000
F,38,80000
F,36,39000
F,40,61000
F,39,115000
F,33,34000
F,40,51000
F,38,43000
F,40,47000
F,45,57000
F,38,44000
F,39,44000
F,41,54000
F,37,63000
F,38,53000
F,35,50000
F,41,46000
F,37,56000
F,39,69000
F,39,49000
F,37,53000
F,37,65000
F,38,49000
F,37,57000
F,33,43000
F,39,41000
F,40,56000
F,33,43000
F,36,53000
F,35,48000
F,36,43000
F,37,55000
F,36,54000
F,37,49000
F,38,58000
F,34,60000
F,36,40000
F,41,49000
F,39,50000
F,39,42000
F,40,51000
F,44,48000
F,36,70000
F,40,44000
F,38,45000
F,38,51000
F,40,48000
F,38,57000
F,37,49000
F,33,43000
F,37,45000
F,35,49000
F,40,47000
F,34,40000
F,36,44000
F,39,47000
F,40,50000
F,39,51000
F,33,58000
F,34,56000
F,36,38000
F,34,41000
F,34,63000
F,34,51000
F,39,45000
F,38,46000
F,36,40000
F,36,39000
F,38,41000
F,36,49000
F,33,46000
F,40,38000
F,37,46000
F,37,48000
F,41,50000
F,37,45000
F,36,47000
F,40,47000
F,36,52000
F,43,49000
F,37,48000
F,37,48000
F,34,51000
F,38,47000
F,35,48000
F,38,46000
F,38,40000
F,36,42000
F,39,54000
F,36,42000
F,36,40000
F,41,44000
F,44,60000
F,31,37000
F,43,42000
F,37,45000
F,38,52000
F,36,59000
F,37,46000
F,39,43000
F,37,47000
F,38,44000
F,31,45000
F,38,47000
F,38,46000
F,41,43000
F,42,44000
F,36,40000
F,37,40000
F,40,53000
F,36,53000
F,33,47000
F,33,43000
F,42,54000
F,39,42000
F,38,53000
F,36,47000
F,37,46000
F,46,37000
F,38,55000
F,37,45000
F,30,37000
F,35,41000
F,35,46000
F,35,43000
F,41,47000
F,39,45000
F,38,45000
F,35,51000
F,37,48000
F,29,42000
F,37,44000
F,39,49000
F,34,46000
F,39,43000
F,37,62000
F,39,65000
F,31,46000
F,35,48000
F,40,42000
F,31,31000
F,41,51000
F,36,51000
F,32,42000
F,40,66000
F,40,56000
F,31,112000
F,37,59000
F,37,65000
F,37,56000
F,38,42000
F,34,47000
F,37,42000
F,37,44000
F,37,45000
F,40,40000
F,40,58000
F,38,41000
F,38,42000
F,40,81000
F,36,63000
F,40,58000
F,38,55000
F,40,54000
F,48,63000
F,48,47000
F,44,41000
F,30,48000
F,32,47000
F,36,51000
F,39,55000
F,36,58000
F,37,48000
F,38,50000
F,38,45000
F,38,66000
F,43,50000
F,40,48000
F,37,52000
F,41,59000
F,44,59000
F,35,41000
F,38,61000
F,38,56000
F,40,58000
F,27,45000
F,38,51000
F,36,60000
F,38,52000
F,40,49000
F,38,64000
F,38,59000
F,35,45000
F,41,49000
F,37,57000
F,40,53000
F,38,46000
F,38,40000
F,37,59000
F,40,44000
F,38,42000
F,39,42000
F,39,48000
F,37,48000
F,35,57000
F,43,50000
F,36,54000
F,35,48000
F,37,65000
F,39,111000
F,40,60000
F,38,77000
F,44,63000
F,36,66000
F,41,73000
F,37,48000
F,37,80000
F,39,52000
F,38,50000
F,37,44000
F,35,54000
F,35,64000
F,37,50000
F,37,46000
F,38,48000
F,39,51000
F,39,55000
F,37,44000
F,37,43000
F,41,47000
F,34,52000
F,39,42000
F,39,52000
F,36,47000
F,41,52000
F,61,58000
F,38,49000
F,38,70000
F,39,48000
F,37,54000
F,37,54000
F,34,38000
F,38,59000
F,37,52000
F,37,51000
F,32,43000
F,35,44000
F,38,48000
F,34,44000
F,42,46000
F,36,51000
F,40,45000
F,40,50000
F,39,51000
F,39,58000
F,33,46000
F,39,52000
F,42,44000
F,37,40000
