City_State_x,gender,age,income,prediction
"Akron, OH",M,37,64877,0.94881797
"Albany, GA",M,34,50530,0.8605786
"Lebanon, OR",M,37,58102,0.90897167
"Troy, NY",M,38,74821,0.9608107
"Albuquerque, NM",M,36,57656,0.90897167
"Alexandria, LA",M,35,57035,0.9084522
"Alexandria, DCVAMDWV",M,35,89098,0.7418173
"Easton, PANJ",M,37,69073,0.9270455
"Amarillo, TX",M,34,61929,0.9274596
"Ames, IA",M,33,54124,0.87528837
"Anchorage, AK",M,33,73708,0.9528833
"AnnArbor, MI",M,35,75738,0.78451467
"Oxford, AL",M,36,47122,0.86913663
"Appleton, WI",M,36,64211,0.87663233
"Asheville, NC",M,40,60622,0.9030247
"Alpharetta, GA",M,34,69877,0.8610918
"Hammonton, NJ",M,38,64409,0.87663233
"Opelika, AL",M,33,49655,0.80695224
"Georgetown, TX",M,34,78581,0.8993384
"Bakersfield, CA",M,31,50502,0.8605786
"Towson, MD",M,36,77925,0.819691
"Bangor, ME",M,39,55640,0.93309426
"BatonRouge, LA",M,34,62276,0.9274596
"BattleCreek, MI",M,36,52736,0.90459013
"BayCity, MI",M,39,55589,0.93309426
"Beckley, WV",M,38,50813,0.8605786
"Bellingham, WA",M,37,64112,0.87663233
"Bend, OR",M,39,74661,0.9608107
"Billings, MT",M,37,65813,0.93077385
"Binghamton, NY",M,38,56565,0.9084522
"Hoover, AL",M,35,65370,0.94881797
"Bismarck, ND",M,35,70608,0.9344384
"Christiansburg, VA",M,35,49402,0.8194163
"Bloomington, IL",M,34,64622,0.94881797
"Bloomington, IN",M,34,57201,0.9084522
"Berwick, PA",M,39,59029,0.9450275
"Brunswick, GA",M,39,56915,0.9084522
"Newton, MANH",M,37,101921,0.6223056
"Boulder, CO",M,36,98613,0.8611508
"BowlingGreen, KY",M,34,47732,0.9021242
"PortOrchard, WA",M,37,74564,0.9608107
"Norwalk, CT",M,36,140656,0.79300815
"Harlingen, TX",M,31,41789,0.9569305
"Cheektowaga, NY",M,38,62747,0.9289021
"Burlington, NC",M,36,53272,0.90459013
"Massillon, OH",M,38,57577,0.90897167
"FortMyers, FL",M,43,69402,0.9270455
"CapeGirardeau, MOIL",M,36,53501,0.87528837
"Marion, IL",M,37,53666,0.87528837
"CarsonCity, NV",M,39,66412,0.93077385
"Casper, WY",M,35,77225,0.7738398
"CedarRapids, IA",M,36,65106,0.94881797
"Urbana, IL",M,33,61002,0.9030247
"Charleston, WV",M,39,57023,0.9084522
"Gastonia, NCSC",M,35,68553,0.9270455
"Charlottesville, VA",M,37,85245,0.664071
"Chattanooga, TNGA",M,37,59551,0.908626
"Cheyenne, WY",M,36,64519,0.94881797
"Elgin, ILINWI",M,35,79449,0.8993384
"Chico, CA",M,36,60302,0.908626
"Cincinnati, OHKYIN",M,35,69636,0.8610918
"Clarksville, TNKY",M,30,52293,0.93041027
"Cleveland, TN",M,37,50147,0.80695224
"Elyria, OH",M,37,68453,0.9299786
"Bryan, TX",M,31,52655,0.90459013
"ColoradoSprings, CO",M,34,64616,0.94881797
"Columbia, MO",M,34,59183,0.9450275
"Columbus, GAAL",M,33,52233,0.93041027
"Columbus, IN",M,35,67301,0.9085907
"Columbus, OH",M,34,66031,0.93077385
"Corvallis, OR",M,36,59672,0.908626
"Destin, FL",M,36,71118,0.9344384
"Arlington, TX",M,33,73608,0.9528833
"Dalton, GA",M,34,49227,0.8194163
"Foley, AL",M,39,60396,0.908626
"Kettering, OH",M,36,61381,0.9030247
"Decatur, AL",M,37,51341,0.8605786
"Decatur, IL",M,37,62557,0.9289021
"OrmondBeach, FL",M,42,59151,0.9450275
"Lakewood, CO",M,35,86048,0.66289264
"Dothan, AL",M,37,54565,0.9486211
"Dover, DE",M,36,55763,0.93309426
"Dubuque, IA",M,36,62620,0.9289021
"Duluth, MNWI",M,38,59127,0.9450275
"ChapelHill, NC",M,36,70095,0.8610918
"EauClaire, WI",M,36,60310,0.908626
"ElCentro, CA",M,31,52349,0.93041027
"FortKnox, KY",M,35,55086,0.9486211
"Goshen, IN",M,33,60648,0.9030247
"Elmira, NY",M,38,57708,0.90897167
"ElPaso, TX",M,31,48567,0.8194163
"Enid, OK",M,34,53792,0.87528837
"Erie, PA",M,37,58152,0.90897167
"Springfield, OR",M,38,60851,0.9030247
"Evansville, INKY",M,36,62542,0.9289021
"Fairbanks, AK",M,32,71369,0.9344384
"Fargo, NDMN",M,33,68269,0.9299786
"Farmington, NM",M,34,46033,0.86679035
"Fayetteville, NC",M,31,50226,0.80695224
"Rogers, AR",M,33,77764,0.819691
"Flagstaff, AZ",M,34,62787,0.9289021
"Flint, MI",M,36,54604,0.9486211
"Florence, SC",M,36,55853,0.93309426
"MuscleShoals, AL",M,34,49325,0.8194163
"Tuscaloosa, AL",M,34,47950,0.9021242
"FortSmith, AROK",M,36,49796,0.80695224
"FortWayne, IN",M,34,60270,0.908626
"Fresno, CA",M,31,56642,0.9084522
"Gadsden, AL",M,37,47019,0.86913663
"Gainesville, FL",M,35,55939,0.93309426
"Gainesville, GA",M,35,59415,0.9450275
"Gettysburg, PA",M,39,61493,0.9030247
"Goldsboro, NC",M,35,55066,0.9486211
"GrandIsland, NE",M,34,57724,0.90897167
"GrandJunction, CO",M,38,57474,0.9084522
"Kentwood, MI",M,34,63533,0.87663233
"GrantsPass, OR",M,41,60143,0.908626
"GreatFalls, MT",M,35,59312,0.9450275
"CedarFalls, IA",M,35,59112,0.9450275
"Greeley, CO",M,33,62213,0.9274596
"HighPoint, NC",M,36,57388,0.9084522
"Greenville, NC",M,33,58980,0.9450275
"Anderson, SC",M,36,56237,0.93309426
"Biloxi, MS",M,36,49109,0.8194163
"Hammond, LA",M,34,52015,0.93041027
"Carlisle, PA",M,37,66749,0.9085907
"Harrisonburg, VA",M,35,52130,0.93041027
"Hattiesburg, MS",M,34,49290,0.8194163
"Morganton, NC",M,38,53500,0.87528837
"Bluffton, SC",M,42,73136,0.9027615
"Hinesville, GA",M,29,45132,0.9219512
"HotSprings, AR",M,40,51839,0.93041027
"Thibodaux, LA",M,35,54737,0.9486211
"Huntsville, AL",M,36,63766,0.87663233
"Anderson, IN",M,34,72629,0.9027615
"Ithaca, NY",M,35,56693,0.9084522
"Jackson, MI",M,37,52202,0.93041027
"Jackson, MS",M,35,57491,0.9084522
"Jackson, TN",M,36,53914,0.87528837
