gender,age,income,member
0,55,112000,1
0,75,100000,1
1,68,70000,1
1,65,53000,1
1,58,51000,1
0,61,57000,1
1,26,46000,1
0,62,71000,1
1,49,52000,1
1,57,42000,1
0,61,40000,1
0,40,71000,1
1,64,100000,1
0,78,71000,1
1,42,69000,1
0,56,88000,1
0,33,52000,1
0,46,59000,1
1,59,41000,1
1,67,96000,1
1,22,70000,1
0,96,89000,1
1,40,33000,1
0,69,57000,1
1,56,68000,1
0,26,63000,1
1,75,40000,1
0,20,30000,1
1,45,33000,1
1,61,98000,1
0,69,37000,1
0,54,80000,1
1,39,51000,1
0,41,41000,1
0,79,48000,1
0,66,38000,1
0,56,52000,1
0,39,56000,1
1,42,96000,1
0,78,93000,1
1,45,48000,1
1,29,50000,1
1,44,35000,1
1,63,56000,1
1,36,56000,1
0,76,47000,1
1,68,87000,1
1,75,52000,1
1,67,76000,1
1,77,51000,1
1,76,64000,1
1,57,98000,1
0,53,72000,1
0,53,117000,1
0,53,55000,1
0,61,112000,1
0,67,77000,1
0,58,85000,1
0,46,36000,1
1,30,41000,1
1,59,89000,1
1,51,41000,1
1,27,35000,1
1,40,53000,1
0,73,91000,1
0,74,107000,1
1,42,66000,1
1,78,58000,1
0,54,53000,1
0,70,74000,1
0,49,57000,1
0,62,57000,1
1,64,70000,1
0,89,87000,1
1,73,51000,1
0,50,93000,1
0,90,98000,1
0,68,84000,1
1,60,64000,1
1,45,54000,1
1,66,49000,1
0,19,73000,1
0,66,58000,1
0,72,72000,1
1,76,63000,1
1,52,78000,1
1,55,31000,1
0,39,60000,1
0,45,44000,1
0,57,114000,1
1,74,48000,1
1,18,47000,1
1,53,96000,1
0,59,98000,1
1,57,46000,1
0,51,56000,1
0,64,37000,1
1,71,57000,1
0,64,66000,1
1,83,46000,1
1,26,71000,1
0,29,58000,1
1,43,70000,1
0,89,65000,1
0,49,79000,1
1,79,67000,1
0,55,94000,1
1,55,66000,1
1,45,31000,1
1,52,30000,1
1,39,55000,1
1,77,69000,1
1,66,60000,1
0,69,87000,1
1,74,53000,1
0,75,87000,1
0,59,85000,1
1,47,66000,1
1,20,69000,1
1,60,108000,1
1,65,61000,1
1,33,43000,1
0,39,67000,1
1,49,59000,1
1,68,58000,1
1,42,80000,1
1,72,33000,1
0,18,49000,1
0,32,42000,1
1,67,50000,1
1,52,42000,1
1,38,64000,1
0,60,77000,1
0,62,77000,1
0,55,51000,1
1,22,63000,1
1,34,41000,1
1,46,60000,1
1,85,67000,1
0,51,85000,1
0,53,85000,1
1,51,92000,1
1,48,44000,1
1,52,72000,1
1,62,53000,1
1,42,62000,1
1,55,65000,1
0,27,50000,1
1,68,107000,1
0,74,83000,1
1,77,66000,1
1,35,72000,1
0,50,69000,1
1,45,94000,1
1,82,87000,1
1,40,57000,1
1,66,34000,1
1,52,63000,1
0,57,89000,1
1,68,69000,1
1,21,52000,1
1,61,44000,1
0,58,54000,1
0,67,54000,1
1,24,61000,1
1,26,35000,1
0,71,105000,1
0,69,64000,1
1,81,93000,1
1,62,73000,1
1,38,74000,1
1,61,82000,1
0,52,92000,1
1,50,70000,1
1,54,118000,1
0,75,109000,1
1,82,73000,1
1,64,38000,1
0,54,99000,1
1,82,72000,1
1,90,45000,1
0,34,67000,1
1,44,53000,1
0,79,106000,1
0,58,95000,1
0,47,74000,1
0,60,59000,1
1,83,54000,1
0,74,103000,1
1,89,101000,1
1,68,62000,1
0,63,110000,1
0,40,51000,1
0,79,99000,1
1,71,30000,1
0,76,114000,1
1,89,96000,1
1,63,36000,1
1,41,83000,1
0,71,56000,1
1,44,36000,1
1,25,73000,1
1,27,70000,1
1,67,106000,1
0,77,80000,1
0,68,66000,1
1,37,64000,1
1,55,60000,1
1,30,54000,1
1,51,54000,1
0,47,92000,1
1,49,48000,1
1,32,38000,1
1,30,69000,1
1,47,86000,1
1,34,34000,1
0,78,101000,1
0,85,71000,1
0,75,69000,1
0,76,71000,1
0,89,59000,1
1,58,70000,1
1,23,49000,1
1,58,53000,1
0,64,95000,1
1,72,39000,1
0,66,72000,1
0,49,68000,1
1,43,71000,1
1,58,39000,1
1,43,76000,1
0,56,87000,1
0,69,118000,1
1,81,70000,1
1,42,91000,1
1,75,71000,1
1,62,73000,1
0,55,54000,1
1,65,39000,1
1,52,46000,1
0,30,40000,1
0,74,75000,1
0,100,63000,1
0,26,40000,1
0,56,53000,1
1,50,90000,1
1,73,95000,1
0,49,74000,1
1,37,50000,1
1,65,57000,1
0,64,81000,1
0,48,53000,1
1,20,32000,1
1,46,40000,1
1,24,69000,1
1,71,95000,1
0,50,78000,1
1,37,92000,1
0,57,81000,1
1,52,85000,1
1,41,41000,1
0,66,74000,1
0,66,87000,1
0,68,120000,1
1,20,70000,1
1,43,42000,1
1,73,38000,1
0,42,56000,1
1,82,110000,1
0,70,92000,1
0,42,71000,1
1,48,62000,1
0,53,93000,1
1,64,67000,1
1,79,90000,1
1,51,55000,1
0,45,88000,1
0,48,105000,1
0,54,119000,1
1,52,48000,1
1,28,68000,1
1,69,47000,1
1,73,92000,1
0,67,71000,1
0,76,34000,1
0,55,53000,1
0,89,83000,1
1,57,41000,1
0,54,70000,1
1,58,73000,1
1,49,39000,1
0,73,79000,1
0,58,76000,1
1,51,70000,1
1,74,78000,1
1,53,95000,1
1,61,32000,1
1,41,55000,1
0,64,95000,1
1,42,75000,1
1,50,57000,1
1,60,56000,1
0,57,83000,1
0,39,54000,1
0,57,67000,1
1,57,71000,1
1,68,51000,1
0,83,114000,1
0,35,72000,1
0,90,72000,1
1,56,72000,1
1,84,81000,1
1,62,39000,1
1,63,58000,1
1,67,56000,1
0,68,50000,1
1,55,73000,1
0,24,59000,1
1,40,39000,1
1,83,61000,1
0,63,41000,1
0,59,59000,1
0,61,99000,1
1,42,57000,1
1,58,36000,1
0,48,44000,1
1,35,64000,1
1,36,31000,1
0,41,100000,1
0,83,73000,1
1,53,87000,1
0,53,97000,1
0,80,48000,1
1,25,66000,1
1,63,119000,1
0,63,66000,1
0,56,109000,1
1,43,59000,1
0,58,58000,1
1,59,59000,1
1,49,104000,1
0,63,70000,1
1,42,94000,1
0,52,57000,1
0,57,37000,1
0,56,59000,1
1,80,87000,1
1,43,52000,1
1,54,70000,1
1,28,73000,1
0,57,95000,1
1,71,67000,1
0,64,112000,1
1,20,49000,1
0,36,58000,1
0,45,99000,1
1,71,65000,1
1,67,89000,1
0,72,81000,1
1,51,100000,1
1,48,68000,1
1,53,60000,1
1,25,53000,1
0,79,85000,1
1,19,32000,1
0,28,49000,1
1,56,76000,1
1,44,37000,1
1,25,40000,1
0,61,78000,1
1,34,59000,1
0,41,37000,1
1,44,51000,1
0,51,92000,1
1,47,44000,1
0,63,70000,1
1,62,61000,1
1,66,71000,1
1,62,70000,1
1,83,88000,1
1,43,58000,1
0,66,94000,1
1,70,44000,1
0,65,66000,1
0,33,54000,1
1,63,78000,1
1,77,42000,1
0,49,57000,1
1,53,104000,1
0,61,87000,1
1,60,38000,1
0,44,60000,1
1,69,62000,1
1,39,71000,1
0,38,55000,1
0,83,99000,1
0,63,94000,1
0,41,41000,1
1,54,39000,1
