gender,age,income,member
F,55,112000,1
F,75,100000,1
M,68,70000,1
M,65,53000,1
M,58,51000,1
F,61,57000,1
M,26,46000,1
F,62,71000,1
M,49,52000,1
M,57,42000,1
F,61,40000,1
F,40,71000,1
M,64,100000,1
F,78,71000,1
M,42,69000,1
F,56,88000,1
F,33,52000,1
F,46,59000,1
M,59,41000,1
M,67,96000,1
M,22,70000,1
F,96,89000,1
M,40,33000,1
F,69,57000,1
M,56,68000,1
F,26,63000,1
M,75,40000,1
F,20,30000,1
M,45,33000,1
M,61,98000,1
F,69,37000,1
F,54,80000,1
M,39,51000,1
F,41,41000,1
F,79,48000,1
F,66,38000,1
F,56,52000,1
F,39,56000,1
M,42,96000,1
F,78,93000,1
M,45,48000,1
M,29,50000,1
M,44,35000,1
M,63,56000,1
M,36,56000,1
F,76,47000,1
M,68,87000,1
M,75,52000,1
M,67,76000,1
M,77,51000,1
M,76,64000,1
M,57,98000,1
F,53,72000,1
F,53,117000,1
F,53,55000,1
F,61,112000,1
F,67,77000,1
F,58,85000,1
F,46,36000,1
M,30,41000,1
M,59,89000,1
M,51,41000,1
M,27,35000,1
M,40,53000,1
F,73,91000,1
F,74,107000,1
M,42,66000,1
M,78,58000,1
F,54,53000,1
F,70,74000,1
F,49,57000,1
F,62,57000,1
M,64,70000,1
F,89,87000,1
M,73,51000,1
F,50,93000,1
F,90,98000,1
F,68,84000,1
M,60,64000,1
M,45,54000,1
M,66,49000,1
F,19,73000,1
F,66,58000,1
F,72,72000,1
M,76,63000,1
M,52,78000,1
M,55,31000,1
F,39,60000,1
F,45,44000,1
F,57,114000,1
M,74,48000,1
M,18,47000,1
M,53,96000,1
F,59,98000,1
M,57,46000,1
F,51,56000,1
F,64,37000,1
M,71,57000,1
F,64,66000,1
M,83,46000,1
M,26,71000,1
F,29,58000,1
M,43,70000,1
F,89,65000,1
F,49,79000,1
M,79,67000,1
F,55,94000,1
M,55,66000,1
M,45,31000,1
M,52,30000,1
M,39,55000,1
M,77,69000,1
M,66,60000,1
F,69,87000,1
M,74,53000,1
F,75,87000,1
F,59,85000,1
M,47,66000,1
M,20,69000,1
M,60,108000,1
M,65,61000,1
M,33,43000,1
F,39,67000,1
M,49,59000,1
M,68,58000,1
M,42,80000,1
M,72,33000,1
F,18,49000,1
F,32,42000,1
M,67,50000,1
M,52,42000,1
M,38,64000,1
F,60,77000,1
F,62,77000,1
F,55,51000,1
M,22,63000,1
M,34,41000,1
M,46,60000,1
M,85,67000,1
F,51,85000,1
F,53,85000,1
M,51,92000,1
M,48,44000,1
M,52,72000,1
M,62,53000,1
M,42,62000,1
M,55,65000,1
F,27,50000,1
M,68,107000,1
F,74,83000,1
M,77,66000,1
M,35,72000,1
F,50,69000,1
M,45,94000,1
M,82,87000,1
M,40,57000,1
M,66,34000,1
M,52,63000,1
F,57,89000,1
M,68,69000,1
M,21,52000,1
M,61,44000,1
F,58,54000,1
F,67,54000,1
M,24,61000,1
M,26,35000,1
F,71,105000,1
F,69,64000,1
M,81,93000,1
M,62,73000,1
M,38,74000,1
M,61,82000,1
F,52,92000,1
M,50,70000,1
M,54,118000,1
F,75,109000,1
M,82,73000,1
M,64,38000,1
F,54,99000,1
M,82,72000,1
M,90,45000,1
F,34,67000,1
M,44,53000,1
F,79,106000,1
F,58,95000,1
F,47,74000,1
F,60,59000,1
M,83,54000,1
F,74,103000,1
M,89,101000,1
M,68,62000,1
F,63,110000,1
F,40,51000,1
F,79,99000,1
M,71,30000,1
F,76,114000,1
M,89,96000,1
M,63,36000,1
M,41,83000,1
F,71,56000,1
M,44,36000,1
M,25,73000,1
M,27,70000,1
M,67,106000,1
F,77,80000,1
F,68,66000,1
M,37,64000,1
M,55,60000,1
