gender,age,income,member
F,55.0,112000.0,1.0
F,75.0,100000.0,1.0
M,68.0,70000.0,1.0
M,65.0,53000.0,1.0
M,58.0,51000.0,1.0
F,61.0,57000.0,1.0
M,26.0,46000.0,1.0
F,62.0,71000.0,1.0
M,49.0,52000.0,1.0
M,57.0,42000.0,1.0
F,61.0,40000.0,1.0
F,40.0,71000.0,1.0
M,64.0,100000.0,1.0
F,78.0,71000.0,1.0
M,42.0,69000.0,1.0
F,56.0,88000.0,1.0
F,33.0,52000.0,1.0
F,46.0,59000.0,1.0
M,59.0,41000.0,1.0
M,67.0,96000.0,1.0
M,22.0,70000.0,1.0
F,96.0,89000.0,1.0
M,40.0,33000.0,1.0
F,69.0,57000.0,1.0
M,56.0,68000.0,1.0
F,26.0,63000.0,1.0
M,75.0,40000.0,1.0
F,20.0,30000.0,1.0
M,45.0,33000.0,1.0
M,61.0,98000.0,1.0
F,69.0,37000.0,1.0
F,54.0,80000.0,1.0
M,39.0,51000.0,1.0
F,41.0,41000.0,1.0
F,79.0,48000.0,1.0
F,66.0,38000.0,1.0
F,56.0,52000.0,1.0
F,39.0,56000.0,1.0
M,42.0,96000.0,1.0
F,78.0,93000.0,1.0
M,45.0,48000.0,1.0
M,29.0,50000.0,1.0
M,44.0,35000.0,1.0
M,63.0,56000.0,1.0
M,36.0,56000.0,1.0
F,76.0,47000.0,1.0
M,68.0,87000.0,1.0
M,75.0,52000.0,1.0
M,67.0,76000.0,1.0
M,77.0,51000.0,1.0
M,76.0,64000.0,1.0
M,57.0,98000.0,1.0
F,53.0,72000.0,1.0
F,53.0,117000.0,1.0
F,53.0,55000.0,1.0
F,61.0,112000.0,1.0
F,67.0,77000.0,1.0
F,58.0,85000.0,1.0
F,46.0,36000.0,1.0
M,30.0,41000.0,1.0
M,59.0,89000.0,1.0
M,51.0,41000.0,1.0
M,27.0,35000.0,1.0
M,40.0,53000.0,1.0
F,73.0,91000.0,1.0
F,74.0,107000.0,1.0
M,42.0,66000.0,1.0
M,78.0,58000.0,1.0
F,54.0,53000.0,1.0
F,70.0,74000.0,1.0
F,49.0,57000.0,1.0
F,62.0,57000.0,1.0
M,64.0,70000.0,1.0
F,89.0,87000.0,1.0
M,73.0,51000.0,1.0
F,50.0,93000.0,1.0
F,90.0,98000.0,1.0
F,68.0,84000.0,1.0
M,60.0,64000.0,1.0
M,45.0,54000.0,1.0
M,66.0,49000.0,1.0
F,19.0,73000.0,1.0
F,66.0,58000.0,1.0
F,72.0,72000.0,1.0
M,76.0,63000.0,1.0
M,52.0,78000.0,1.0
M,55.0,31000.0,1.0
F,39.0,60000.0,1.0
F,45.0,44000.0,1.0
F,57.0,114000.0,1.0
M,74.0,48000.0,1.0
M,18.0,47000.0,1.0
M,53.0,96000.0,1.0
F,59.0,98000.0,1.0
M,57.0,46000.0,1.0
F,51.0,56000.0,1.0
F,64.0,37000.0,1.0
M,71.0,57000.0,1.0
F,64.0,66000.0,1.0
M,83.0,46000.0,1.0
M,26.0,71000.0,1.0
F,29.0,58000.0,1.0
M,43.0,70000.0,1.0
F,89.0,65000.0,1.0
F,49.0,79000.0,1.0
M,79.0,67000.0,1.0
F,55.0,94000.0,1.0
M,55.0,66000.0,1.0
M,45.0,31000.0,1.0
M,52.0,30000.0,1.0
M,39.0,55000.0,1.0
M,77.0,69000.0,1.0
M,66.0,60000.0,1.0
F,69.0,87000.0,1.0
M,74.0,53000.0,1.0
F,75.0,87000.0,1.0
F,59.0,85000.0,1.0
M,47.0,66000.0,1.0
M,20.0,69000.0,1.0
M,60.0,108000.0,1.0
M,65.0,61000.0,1.0
M,33.0,43000.0,1.0
F,39.0,67000.0,1.0
M,49.0,59000.0,1.0
M,68.0,58000.0,1.0
M,42.0,80000.0,1.0
M,72.0,33000.0,1.0
F,18.0,49000.0,1.0
F,32.0,42000.0,1.0
M,67.0,50000.0,1.0
M,52.0,42000.0,1.0
M,38.0,64000.0,1.0
F,60.0,77000.0,1.0
F,62.0,77000.0,1.0
F,55.0,51000.0,1.0
M,22.0,63000.0,1.0
M,34.0,41000.0,1.0
M,46.0,60000.0,1.0
M,85.0,67000.0,1.0
F,51.0,85000.0,1.0
F,53.0,85000.0,1.0
M,51.0,92000.0,1.0
M,48.0,44000.0,1.0
M,52.0,72000.0,1.0
M,62.0,53000.0,1.0
M,42.0,62000.0,1.0
M,55.0,65000.0,1.0
F,27.0,50000.0,1.0
M,68.0,107000.0,1.0
F,74.0,83000.0,1.0
M,77.0,66000.0,1.0
M,35.0,72000.0,1.0
F,50.0,69000.0,1.0
M,45.0,94000.0,1.0
M,82.0,87000.0,1.0
M,40.0,57000.0,1.0
M,66.0,34000.0,1.0
M,52.0,63000.0,1.0
F,57.0,89000.0,1.0
M,68.0,69000.0,1.0
M,21.0,52000.0,1.0
M,61.0,44000.0,1.0
F,58.0,54000.0,1.0
F,67.0,54000.0,1.0
M,24.0,61000.0,1.0
M,26.0,35000.0,1.0
F,71.0,105000.0,1.0
F,69.0,64000.0,1.0
M,81.0,93000.0,1.0
M,62.0,73000.0,1.0
M,38.0,74000.0,1.0
M,61.0,82000.0,1.0
F,52.0,92000.0,1.0
M,50.0,70000.0,1.0
M,54.0,118000.0,1.0
F,75.0,109000.0,1.0
M,82.0,73000.0,1.0
M,64.0,38000.0,1.0
F,54.0,99000.0,1.0
M,82.0,72000.0,1.0
M,90.0,45000.0,1.0
F,34.0,67000.0,1.0
M,44.0,53000.0,1.0
F,79.0,106000.0,1.0
F,58.0,95000.0,1.0
F,47.0,74000.0,1.0
F,60.0,59000.0,1.0
M,83.0,54000.0,1.0
F,74.0,103000.0,1.0
M,89.0,101000.0,1.0
M,68.0,62000.0,1.0
F,63.0,110000.0,1.0
F,40.0,51000.0,1.0
F,79.0,99000.0,1.0
M,71.0,30000.0,1.0
F,76.0,114000.0,1.0
M,89.0,96000.0,1.0
M,63.0,36000.0,1.0
M,41.0,83000.0,1.0
F,71.0,56000.0,1.0
M,44.0,36000.0,1.0
M,25.0,73000.0,1.0
M,27.0,70000.0,1.0
M,67.0,106000.0,1.0
F,77.0,80000.0,1.0
F,68.0,66000.0,1.0
M,37.0,64000.0,1.0
M,55.0,60000.0,1.0
M,30.0,54000.0,1.0
M,51.0,54000.0,1.0
