2019,2020,2021,prediction_mean,State/Province_x,City_State,Count,City,Longitude,Latitude,POPESTIMATE,POPEST_MALE,POPEST_FEMALE,UNDER5_TOTAL,UNDER5_MALE,UNDER5_FEMALE,AGE513_TOTAL,AGE513_MALE,AGE513_FEMALE,AGE1417_TOTAL,AGE1417_MALE,AGE1417_FEMALE,AGE1824_TOTAL,AGE1824_MALE,AGE1824_FEMALE,AGE16PLUS_TOTAL,AGE16PLUS_MALE,AGE16PLUS_FEMALE,AGE18PLUS_TOTAL,AGE18PLUS_MALE,AGE18PLUS_FEMALE,AGE1544_TOTAL,AGE1544_MALE,AGE1544_FEMALE,AGE2544_TOTAL,AGE2544_MALE,AGE2544_FEMALE,AGE4564_TOTAL,AGE4564_MALE,AGE4564_FEMALE,AGE65PLUS_TOTAL,AGE65PLUS_MALE,AGE65PLUS_FEMALE,AGE04_TOTAL,AGE04_MALE,AGE04_FEMALE,AGE59_TOTAL,AGE59_MALE,AGE59_FEMALE,AGE1014_TOTAL,AGE1014_MALE,AGE1014_FEMALE,AGE1519_TOTAL,AGE1519_MALE,AGE1519_FEMALE,AGE2024_TOTAL,AGE2024_MALE,AGE2024_FEMALE,AGE2529_TOTAL,AGE2529_MALE,AGE2529_FEMALE,AGE3034_TOTAL,AGE3034_MALE,AGE3034_FEMALE,AGE3539_TOTAL,AGE3539_MALE,AGE3539_FEMALE,AGE4044_TOTAL,AGE4044_MALE,AGE4044_FEMALE,AGE4549_TOTAL,AGE4549_MALE,AGE4549_FEMALE,AGE5054_TOTAL,AGE5054_MALE,AGE5054_FEMALE,AGE5559_TOTAL,AGE5559_MALE,AGE5559_FEMALE,AGE6064_TOTAL,AGE6064_MALE,AGE6064_FEMALE,AGE6569_TOTAL,AGE6569_MALE,AGE6569_FEMALE,AGE7074_TOTAL,AGE7074_MALE,AGE7074_FEMALE,AGE7579_TOTAL,AGE7579_MALE,AGE7579_FEMALE,AGE8084_TOTAL,AGE8084_MALE,AGE8084_FEMALE,AGE85PLUS_TOTAL,AGE85PLUS_MALE,AGE85PLUS_FEMALE,MEDIAN_AGE_TOTAL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE
51827,55232,58735,0.909252285,OH,"Akron, OH",10,Akron,-81.51,41.08,700015,341789,358226,36016,18226,17790,71556,36451,35105,34198,17354,16844,68486,33660,34826,575357,278428,296929,558245,269758,288487,268696,133667,135029,174593,87019,87574,184807,90660,94147,130359,58419,71940,36016,18226,17790,39040,19906,19134,41097,20911,20186,44506,22232,22274,49597,24416,25181,46083,23117,22966,44855,22270,22585,42570,21217,21353,41085,20415,20670,39544,19636,19908,45974,22710,23264,48825,23838,24987,50464,24476,25988,44120,21015,23105,36258,16800,19458,22111,9836,12275,14011,5805,8206,13859,4963,8896,40.7,39.7,41.8
38118,42006,45619,0.90493045,GA,"Albany, GA",3,Albany,-84.22,31.61,147773,70139,77634,8985,4561,4424,17934,9218,8716,8402,4290,4112,14870,7198,7672,116587,54166,62421,112452,52070,60382,58166,27813,30353,37066,17452,19614,35735,16685,19050,24781,10735,14046,8985,4561,4424,9631,4959,4672,10475,5386,5089,10926,5437,5489,10174,4924,5250,9265,4389,4876,9880,4647,5233,8995,4225,4770,8926,4191,4735,8543,4059,4484,8727,4140,4587,9233,4238,4995,9232,4248,4984,8354,3834,4520,7042,3226,3816,4346,1916,2430,2656,1021,1635,2383,738,1645,37.6,35.9,39
44501,48357,52695,0.856467605,OR,"Albany-Lebanon, OR",6,Albany-Lebanon,-122.91,44.53,129839,64524,65315,7543,3868,3675,14608,7409,7199,6835,3527,3308,9845,5011,4834,104158,51432,52726,100853,49720,51133,49159,24825,24334,34259,17207,17052,31880,15844,16036,24869,11658,13211,7543,3868,3675,7940,3955,3985,8448,4374,4074,7647,3999,3648,7253,3619,3634,8673,4392,4281,9066,4515,4551,8667,4362,4305,7853,3938,3915,7225,3659,3566,7705,3909,3796,8255,4051,4204,8695,4225,4470,8318,4001,4317,7061,3396,3665,4558,2216,2342,2756,1213,1543,2176,832,1344,39.8,39,40.6
59477,63951,67788,0.914221425,NY,"Albany-Schenectady-Troy, NY",7,Albany-Schenectady-Troy,-73.68,42.74,899286,442304,456982,43929,22535,21394,88178,45296,42882,40902,20899,20003,94978,47626,47352,747020,364056,382964,726277,353574,372703,355432,178467,176965,229632,115194,114438,235678,115942,119736,165989,74812,91177,43929,22535,21394,48333,24747,23586,49925,25801,24124,58427,29529,28898,67373,33744,33629,58296,29416,28880,58768,29451,29317,58113,29114,28999,54455,27213,27242,50914,25208,25706,58675,29336,29339,63651,30951,32700,62438,30447,31991,54019,26060,27959,46226,21685,24541,28947,13137,15810,17818,7474,10344,18979,6456,12523,40.6,39.4,41.7
44884,48514,52263,0.856467605,NM,"Albuquerque, NM",37,Albuquerque,-106.69,35.18,918259,453922,464337,46783,23747,23036,100646,51592,49054,48672,24873,23799,79962,40782,39180,746329,365976,380353,722158,353710,368448,368135,187124,181011,251865,127855,124010,226669,111130,115539,163662,73943,89719,46783,23747,23036,53374,27396,25978,59636,30582,29054,59127,30144,28983,57143,29125,28018,62305,31806,30499,65512,33281,32231,65053,32983,32070,58995,29785,29210,53445,26770,26675,54513,27010,27503,58410,28499,29911,60301,28851,31450,54531,25090,29441,46777,21886,24891,29164,13236,15928,17658,7732,9926,15532,5999,9533,39.2,38.2,40.4
44057,48326,51738,0.8545845,LA,"Alexandria, LA",2,Alexandria,-92.47,31.28,150890,75129,75761,9487,4858,4629,18467,9439,9028,8555,4388,4167,12572,6527,6045,118615,58612,60003,114381,56444,57937,58682,30660,28022,39741,20867,18874,36788,17912,18876,25280,11138,14142,9487,4858,4629,10119,5174,4945,10534,5387,5147,9793,5093,4700,9148,4700,4448,9979,5389,4590,10219,5423,4796,10060,5262,4798,9483,4793,4690,8433,4190,4243,8880,4338,4542,9764,4658,5106,9711,4726,4985,8215,3803,4412,6869,3158,3711,4579,2023,2556,3030,1235,1795,2587,919,1668,38.1,36.5,39.8
72992,76110,80822,0.79298097,DCVAMDWV,"Washington-Arlington-Alexandria, DC-VA-MD-WV",117,"Washington-Arlington-Alexandria, DCVAMDWV",-92.47,31.28,150890,75129,75761,9487,4858,4629,18467,9439,9028,8555,4388,4167,12572,6527,6045,118615,58612,60003,114381,56444,57937,58682,30660,28022,39741,20867,18874,36788,17912,18876,25280,11138,14142,9487,4858,4629,10119,5174,4945,10534,5387,5147,9793,5093,4700,9148,4700,4448,9979,5389,4590,10219,5423,4796,10060,5262,4798,9483,4793,4690,8433,4190,4243,8880,4338,4542,9764,4658,5106,9711,4726,4985,8215,3803,4412,6869,3158,3711,4579,2023,2556,3030,1235,1795,2587,919,1668,38.1,36.5,39.8
55269,58454,62618,0.91729908,PANJ,"Allentown-Bethlehem-Easton, PANJ",8,Allentown-Bethlehem-Easton,-75.27,40.69,865310,428166,437144,45060,22952,22108,90584,46562,44022,45052,23172,21880,77331,39451,37880,707164,347064,360100,684614,335480,349134,325689,165501,160188,214635,108726,105909,230719,114594,116125,161929,72709,89220,45060,22952,22108,48520,24797,23723,53393,27613,25780,57195,29359,27836,53859,27416,26443,51953,26436,25517,55223,28017,27206,54501,27692,26809,52958,26581,26377,51175,25473,25702,57461,28736,28725,61193,30456,30737,60890,29929,30961,51854,25042,26812,43385,20389,22996,28683,12955,15728,18371,7723,10648,19636,6600,13036,41.2,40,42.4
49109,52617,56248,0.88730505,TX,"Amarillo, TX",4,Amarillo,-101.8,35.19,269703,135950,133753,16636,8455,8181,35425,18026,17399,16106,8225,7881,25088,12732,12356,209421,105291,104130,201536,101244,100292,112376,58068,54308,75322,39232,36090,61367,31148,30219,39759,18132,21627,16636,8455,8181,19424,9877,9547,20141,10270,9871,19376,9871,9505,17678,8965,8713,18470,9478,8992,19450,10125,9325,19431,10158,9273,17971,9471,8500,15574,8199,7375,15160,7847,7313,15197,7584,7613,15436,7518,7918,13728,6638,7090,10764,5122,5642,6720,2997,3723,4535,1885,2650,4012,1490,2522,36,35.5,36.5
44630,46787,49320,0.894352185,IA,"Ames, IA",5,Ames,-93.62,42.02,126195,65638,60557,5564,2824,2740,11033,5622,5411,5286,2855,2431,31100,17183,13917,106927,55779,51148,104312,54337,49975,65322,35488,29834,30275,16160,14115,24889,12650,12239,18048,8344,9704,5564,2824,2740,5954,3022,2932,6418,3310,3108,12858,6817,6041,22189,12511,9678,9224,5204,4020,7279,3795,3484,6910,3616,3294,6862,3545,3317,5811,3018,2793,5789,3016,2773,6365,3166,3199,6924,3450,3474,6195,3023,3172,4787,2340,2447,2877,1332,1545,2045,896,1149,2144,753,1391,30.6,29,32.3
