,City_x_x,2019,2020,2021,State/Province_x,City_State_x,Matched_Index,Count,City_y,State/Province_y,Longitude,Latitude,City_State_y,City_State,matches,SUMLEV,CBSA,City,State,LSAD,DATE,POPESTIMATE,POPEST_MALE,POPEST_FEMALE,UNDER5_TOTAL,UNDER5_MALE,UNDER5_FEMALE,AGE513_TOTAL,AGE513_MALE,AGE513_FEMALE,AGE1417_TOTAL,AGE1417_MALE,AGE1417_FEMALE,AGE1824_TOTAL,AGE1824_MALE,AGE1824_FEMALE,AGE16PLUS_TOTAL,AGE16PLUS_MALE,AGE16PLUS_FEMALE,AGE18PLUS_TOTAL,AGE18PLUS_MALE,AGE18PLUS_FEMALE,AGE1544_TOTAL,AGE1544_MALE,AGE1544_FEMALE,AGE2544_TOTAL,AGE2544_MALE,AGE2544_FEMALE,AGE4564_TOTAL,AGE4564_MALE,AGE4564_FEMALE,AGE65PLUS_TOTAL,AGE65PLUS_MALE,AGE65PLUS_FEMALE,AGE04_TOTAL,AGE04_MALE,AGE04_FEMALE,AGE59_TOTAL,AGE59_MALE,AGE59_FEMALE,AGE1014_TOTAL,AGE1014_MALE,AGE1014_FEMALE,AGE1519_TOTAL,AGE1519_MALE,AGE1519_FEMALE,AGE2024_TOTAL,AGE2024_MALE,AGE2024_FEMALE,AGE2529_TOTAL,AGE2529_MALE,AGE2529_FEMALE,AGE3034_TOTAL,AGE3034_MALE,AGE3034_FEMALE,AGE3539_TOTAL,AGE3539_MALE,AGE3539_FEMALE,AGE4044_TOTAL,AGE4044_MALE,AGE4044_FEMALE,AGE4549_TOTAL,AGE4549_MALE,AGE4549_FEMALE,AGE5054_TOTAL,AGE5054_MALE,AGE5054_FEMALE,AGE5559_TOTAL,AGE5559_MALE,AGE5559_FEMALE,AGE6064_TOTAL,AGE6064_MALE,AGE6064_FEMALE,AGE6569_TOTAL,AGE6569_MALE,AGE6569_FEMALE,AGE7074_TOTAL,AGE7074_MALE,AGE7074_FEMALE,AGE7579_TOTAL,AGE7579_MALE,AGE7579_FEMALE,AGE8084_TOTAL,AGE8084_MALE,AGE8084_FEMALE,AGE85PLUS_TOTAL,AGE85PLUS_MALE,AGE85PLUS_FEMALE,MEDIAN_AGE_TOTAL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,City_x_y,State_x,nb_personne_starbucks,smh,smf,age_homme,age_femme
0,Akron,51827,55232.0,58735.0,OH,"Akron, OH",22,10,Akron, OH,-81.51,41.08,"Akron,  OH","Akron,  OH",Akron,310.0,10420.0,Akron,OH,Metropolitan Statistical Area,3.0,700015.0,341789.0,358226.0,36016.0,18226.0,17790.0,71556.0,36451.0,35105.0,34198.0,17354.0,16844.0,68486.0,33660.0,34826.0,575357.0,278428.0,296929.0,558245.0,269758.0,288487.0,268696.0,133667.0,135029.0,174593.0,87019.0,87574.0,184807.0,90660.0,94147.0,130359.0,58419.0,71940.0,36016.0,18226.0,17790.0,39040.0,19906.0,19134.0,41097.0,20911.0,20186.0,44506.0,22232.0,22274.0,49597.0,24416.0,25181.0,46083.0,23117.0,22966.0,44855.0,22270.0,22585.0,42570.0,21217.0,21353.0,41085.0,20415.0,20670.0,39544.0,19636.0,19908.0,45974.0,22710.0,23264.0,48825.0,23838.0,24987.0,50464.0,24476.0,25988.0,44120.0,21015.0,23105.0,36258.0,16800.0,19458.0,22111.0,9836.0,12275.0,14011.0,5805.0,8206.0,13859.0,4963.0,8896.0,40.7,39.7,41.8,Akron,OH,70001.5,64877.038008092844,52874.78597659567,37.90039761373245,39.816188663022785
1,Albany,38118,42006.0,45619.0,GA,"Albany, GA",29,3,Albany, GA,-84.22,31.61,"Albany,  GA","Albany,  GA",Albany,310.0,10500.0,Albany,GA,Metropolitan Statistical Area,3.0,147773.0,70139.0,77634.0,8985.0,4561.0,4424.0,17934.0,9218.0,8716.0,8402.0,4290.0,4112.0,14870.0,7198.0,7672.0,116587.0,54166.0,62421.0,112452.0,52070.0,60382.0,58166.0,27813.0,30353.0,37066.0,17452.0,19614.0,35735.0,16685.0,19050.0,24781.0,10735.0,14046.0,8985.0,4561.0,4424.0,9631.0,4959.0,4672.0,10475.0,5386.0,5089.0,10926.0,5437.0,5489.0,10174.0,4924.0,5250.0,9265.0,4389.0,4876.0,9880.0,4647.0,5233.0,8995.0,4225.0,4770.0,8926.0,4191.0,4735.0,8543.0,4059.0,4484.0,8727.0,4140.0,4587.0,9233.0,4238.0,4995.0,9232.0,4248.0,4984.0,8354.0,3834.0,4520.0,7042.0,3226.0,3816.0,4346.0,1916.0,2430.0,2656.0,1021.0,1635.0,2383.0,738.0,1645.0,37.6,35.9,39.0,Albany,GA,49257.666666666664,50530.09977234961,41182.03131446493,34.88864968134704,37.63952649612283
2,Lebanon,44501,48357.0,52695.0,OR,"Lebanon, OR",1755,1,Lebanon, OR,-122.91,44.53,"Lebanon,  OR","Lebanon,  OR","Lebanon, Lebanon",310.0,10540.0,Lebanon,OR,Metropolitan Statistical Area,3.0,129839.0,64524.0,65315.0,7543.0,3868.0,3675.0,14608.0,7409.0,7199.0,6835.0,3527.0,3308.0,9845.0,5011.0,4834.0,104158.0,51432.0,52726.0,100853.0,49720.0,51133.0,49159.0,24825.0,24334.0,34259.0,17207.0,17052.0,31880.0,15844.0,16036.0,24869.0,11658.0,13211.0,7543.0,3868.0,3675.0,7940.0,3955.0,3985.0,8448.0,4374.0,4074.0,7647.0,3999.0,3648.0,7253.0,3619.0,3634.0,8673.0,4392.0,4281.0,9066.0,4515.0,4551.0,8667.0,4362.0,4305.0,7853.0,3938.0,3915.0,7225.0,3659.0,3566.0,7705.0,3909.0,3796.0,8255.0,4051.0,4204.0,8695.0,4225.0,4470.0,8318.0,4001.0,4317.0,7061.0,3396.0,3665.0,4558.0,2216.0,2342.0,2756.0,1213.0,1543.0,2176.0,832.0,1344.0,39.8,39.0,40.6,Lebanon,OR,129839.0,58102.195073742696,47353.28898510029,37.49110408530159,38.987384214958276
3,Troy,59477,63951.0,67788.0,NY,"Troy, NY",3228,1,Troy, NY,-73.68,42.74,"Troy,  NY","Troy,  NY","Troy, Troy",310.0,10580.0,Troy,NY,Metropolitan Statistical Area,3.0,899286.0,442304.0,456982.0,43929.0,22535.0,21394.0,88178.0,45296.0,42882.0,40902.0,20899.0,20003.0,94978.0,47626.0,47352.0,747020.0,364056.0,382964.0,726277.0,353574.0,372703.0,355432.0,178467.0,176965.0,229632.0,115194.0,114438.0,235678.0,115942.0,119736.0,165989.0,74812.0,91177.0,43929.0,22535.0,21394.0,48333.0,24747.0,23586.0,49925.0,25801.0,24124.0,58427.0,29529.0,28898.0,67373.0,33744.0,33629.0,58296.0,29416.0,28880.0,58768.0,29451.0,29317.0,58113.0,29114.0,28999.0,54455.0,27213.0,27242.0,50914.0,25208.0,25706.0,58675.0,29336.0,29339.0,63651.0,30951.0,32700.0,62438.0,30447.0,31991.0,54019.0,26060.0,27959.0,46226.0,21685.0,24541.0,28947.0,13137.0,15810.0,17818.0,7474.0,10344.0,18979.0,6456.0,12523.0,40.6,39.4,41.7,Troy,NY,899286.0,74821.99890608629,60979.92910846032,38.02594595572276,40.08556573344246
4,Albuquerque,44884,48514.0,52263.0,NM,"Albuquerque, NM",32,37,Albuquerque, NM,-106.69,35.18,"Albuquerque,  NM","Albuquerque,  NM",Albuquerque,310.0,10740.0,Albuquerque,NM,Metropolitan Statistical Area,3.0,918259.0,453922.0,464337.0,46783.0,23747.0,23036.0,100646.0,51592.0,49054.0,48672.0,24873.0,23799.0,79962.0,40782.0,39180.0,746329.0,365976.0,380353.0,722158.0,353710.0,368448.0,368135.0,187124.0,181011.0,251865.0,127855.0,124010.0,226669.0,111130.0,115539.0,163662.0,73943.0,89719.0,46783.0,23747.0,23036.0,53374.0,27396.0,25978.0,59636.0,30582.0,29054.0,59127.0,30144.0,28983.0,57143.0,29125.0,28018.0,62305.0,31806.0,30499.0,65512.0,33281.0,32231.0,65053.0,32983.0,32070.0,58995.0,29785.0,29210.0,53445.0,26770.0,26675.0,54513.0,27010.0,27503.0,58410.0,28499.0,29911.0,60301.0,28851.0,31450.0,54531.0,25090.0,29441.0,46777.0,21886.0,24891.0,29164.0,13236.0,15928.0,17658.0,7732.0,9926.0,15532.0,5999.0,9533.0,39.2,38.2,40.4,Albuquerque,NM,24817.81081081081,57656.73864528661,46990.24199590859,36.93445569943735,38.92378595718196
5,Alexandria,44057,48326.0,51738.0,LA,"Alexandria, LA",35,2,Alexandria, LA,-92.47,31.28,"Alexandria,  LA","Alexandria,  LA","Alexandria, Alexandria",310.0,10780.0,Alexandria,LA,Metropolitan Statistical Area,3.0,150890.0,75129.0,75761.0,9487.0,4858.0,4629.0,18467.0,9439.0,9028.0,8555.0,4388.0,4167.0,12572.0,6527.0,6045.0,118615.0,58612.0,60003.0,114381.0,56444.0,57937.0,58682.0,30660.0,28022.0,39741.0,20867.0,18874.0,36788.0,17912.0,18876.0,25280.0,11138.0,14142.0,9487.0,4858.0,4629.0,10119.0,5174.0,4945.0,10534.0,5387.0,5147.0,9793.0,5093.0,4700.0,9148.0,4700.0,4448.0,9979.0,5389.0,4590.0,10219.0,5423.0,4796.0,10060.0,5262.0,4798.0,9483.0,4793.0,4690.0,8433.0,4190.0,4243.0,8880.0,4338.0,4542.0,9764.0,4658.0,5106.0,9711.0,4726.0,4985.0,8215.0,3803.0,4412.0,6869.0,3158.0,3711.0,4579.0,2023.0,2556.0,3030.0,1235.0,1795.0,2587.0,919.0,1668.0,38.1,36.5,39.8,Alexandria,LA,75445.0,57035.920315597796,46484.2750572122,35.3155239654461,37.85789522313591
6,Alexandria,72992,76110.0,80822.0,DCVAMDWV,"Alexandria, DCVAMDWV",35,2,Alexandria, LA,-92.47,31.28,"Alexandria,  LA","Alexandria,  LA","Alexandria, Alexandria",310.0,10780.0,Alexandria,LA,Metropolitan Statistical Area,3.0,150890.0,75129.0,75761.0,9487.0,4858.0,4629.0,18467.0,9439.0,9028.0,8555.0,4388.0,4167.0,12572.0,6527.0,6045.0,118615.0,58612.0,60003.0,114381.0,56444.0,57937.0,58682.0,30660.0,28022.0,39741.0,20867.0,18874.0,36788.0,17912.0,18876.0,25280.0,11138.0,14142.0,9487.0,4858.0,4629.0,10119.0,5174.0,4945.0,10534.0,5387.0,5147.0,9793.0,5093.0,4700.0,9148.0,4700.0,4448.0,9979.0,5389.0,4590.0,10219.0,5423.0,4796.0,10060.0,5262.0,4798.0,9483.0,4793.0,4690.0,8433.0,4190.0,4243.0,8880.0,4338.0,4542.0,9764.0,4658.0,5106.0,9711.0,4726.0,4985.0,8215.0,3803.0,4412.0,6869.0,3158.0,3711.0,4579.0,2023.0,2556.0,3030.0,1235.0,1795.0,2587.0,919.0,1668.0,38.1,36.5,39.8,Alexandria,LA,75445.0,89098.09331143927,72614.946048823,35.3155239654461,37.85789522313591
7,Easton,55269,58454.0,62618.0,PANJ,"Easton, PANJ",890,2,Easton, PA,-75.27,40.69,"Easton,  PA","Easton,  PA","Easton, Easton",310.0,10900.0,Easton,PA,Metropolitan Statistical Area,3.0,865310.0,428166.0,437144.0,45060.0,22952.0,22108.0,90584.0,46562.0,44022.0,45052.0,23172.0,21880.0,77331.0,39451.0,37880.0,707164.0,347064.0,360100.0,684614.0,335480.0,349134.0,325689.0,165501.0,160188.0,214635.0,108726.0,105909.0,230719.0,114594.0,116125.0,161929.0,72709.0,89220.0,45060.0,22952.0,22108.0,48520.0,24797.0,23723.0,53393.0,27613.0,25780.0,57195.0,29359.0,27836.0,53859.0,27416.0,26443.0,51953.0,26436.0,25517.0,55223.0,28017.0,27206.0,54501.0,27692.0,26809.0,52958.0,26581.0,26377.0,51175.0,25473.0,25702.0,57461.0,28736.0,28725.0,61193.0,30456.0,30737.0,60890.0,29929.0,30961.0,51854.0,25042.0,26812.0,43385.0,20389.0,22996.0,28683.0,12955.0,15728.0,18371.0,7723.0,10648.0,19636.0,6600.0,13036.0,41.2,40.0,42.4,Easton,PA,432655.0,69073.60009778207,56294.98407969238,37.88327190855883,40.05901716596819
8,Amarillo,49109,52617.0,56248.0,TX,"Amarillo, TX",54,4,Amarillo, TX,-101.8,35.19,"Amarillo,  TX","Amarillo,  TX",Amarillo,310.0,11100.0,Amarillo,TX,Metropolitan Statistical Area,3.0,269703.0,135950.0,133753.0,16636.0,8455.0,8181.0,35425.0,18026.0,17399.0,16106.0,8225.0,7881.0,25088.0,12732.0,12356.0,209421.0,105291.0,104130.0,201536.0,101244.0,100292.0,112376.0,58068.0,54308.0,75322.0,39232.0,36090.0,61367.0,31148.0,30219.0,39759.0,18132.0,21627.0,16636.0,8455.0,8181.0,19424.0,9877.0,9547.0,20141.0,10270.0,9871.0,19376.0,9871.0,9505.0,17678.0,8965.0,8713.0,18470.0,9478.0,8992.0,19450.0,10125.0,9325.0,19431.0,10158.0,9273.0,17971.0,9471.0,8500.0,15574.0,8199.0,7375.0,15160.0,7847.0,7313.0,15197.0,7584.0,7613.0,15436.0,7518.0,7918.0,13728.0,6638.0,7090.0,10764.0,5122.0,5642.0,6720.0,2997.0,3723.0,4535.0,1885.0,2650.0,4012.0,1490.0,2522.0,36.0,35.5,36.5,Amarillo,TX,67425.75,61929.84635225951,50472.8247770915,34.150025744759105,35.585594341809156
9,Ames,44630,46787.0,49320.0,IA,"Ames, IA",58,5,Ames, IA,-93.62,42.02,"Ames,  IA","Ames,  IA","Ames, Jamestown",310.0,11180.0,Ames,IA,Metropolitan Statistical Area,3.0,126195.0,65638.0,60557.0,5564.0,2824.0,2740.0,11033.0,5622.0,5411.0,5286.0,2855.0,2431.0,31100.0,17183.0,13917.0,106927.0,55779.0,51148.0,104312.0,54337.0,49975.0,65322.0,35488.0,29834.0,30275.0,16160.0,14115.0,24889.0,12650.0,12239.0,18048.0,8344.0,9704.0,5564.0,2824.0,2740.0,5954.0,3022.0,2932.0,6418.0,3310.0,3108.0,12858.0,6817.0,6041.0,22189.0,12511.0,9678.0,9224.0,5204.0,4020.0,7279.0,3795.0,3484.0,6910.0,3616.0,3294.0,6862.0,3545.0,3317.0,5811.0,3018.0,2793.0,5789.0,3016.0,2773.0,6365.0,3166.0,3199.0,6924.0,3450.0,3474.0,6195.0,3023.0,3172.0,4787.0,2340.0,2447.0,2877.0,1332.0,1545.0,2045.0,896.0,1149.0,2144.0,753.0,1391.0,30.6,29.0,32.3,Ames,IA,25239.0,54124.981178031114,44111.85966009535,33.69746183613151,35.85009164919002
