,City_State_x,gender,Moyenne_par_sexe,Moyenne_salaire
0,"Akron, OH",M,37.90039761373245,64877.038008092844
1,"Albany, GA",M,34.88864968134704,50530.09977234961
2,"Lebanon, OR",M,37.49110408530159,58102.195073742696
3,"Troy, NY",M,38.02594595572276,74821.99890608629
4,"Albuquerque, NM",M,36.93445569943735,57656.73864528661
5,"Alexandria, LA",M,35.3155239654461,57035.920315597796
6,"Alexandria, DCVAMDWV",M,35.3155239654461,89098.09331143927
7,"Easton, PANJ",M,37.88327190855883,69073.60009778207
8,"Amarillo, TX",M,34.150025744759105,61929.84635225951
9,"Ames, IA",M,33.69746183613151,54124.981178031114
10,"Anchorage, AK",M,33.90941624452105,73708.12427666549
11,"AnnArbor, MI",M,35.29899249685325,75738.2434190718
12,"Oxford, AL",M,36.82502808037226,47122.42206856288
13,"Appleton, WI",M,36.358788007031706,64211.1356782904
14,"Asheville, NC",M,40.69281188934358,60622.97414512686
15,"Alpharetta, GA",M,34.32333271802789,69877.21262526159
16,"Hammonton, NJ",M,38.186794519323186,64409.40292499298
17,"Opelika, AL",M,33.55807650523186,49655.467805724045
18,"Georgetown, TX",M,34.04467966865095,78581.41782638161
19,"Bakersfield, CA",M,31.328099389102228,50502.526389042025
20,"Towson, MD",M,36.21985328465135,77925.6781674976
21,"Bangor, ME",M,39.134637348211356,55640.75114803221
22,"BatonRouge, LA",M,34.68946962793607,62276.32249792876
23,"BattleCreek, MI",M,36.82136955565999,52736.094008162574
24,"BayCity, MI",M,39.582839656322335,55589.39697176757
25,"Beckley, WV",M,38.94159187365199,50813.04411844001
26,"Bellingham, WA",M,37.192303966038104,64112.87182416284
27,"Bend, OR",M,39.482948875975815,74661.19946313683
28,"Billings, MT",M,37.011944402672455,65813.08319838316
29,"Binghamton, NY",M,38.16195366414723,56565.267287996496
30,"Hoover, AL",M,35.97326693041657,65370.94744869127
31,"Bismarck, ND",M,35.95149727098392,70608.8042931582
32,"Christiansburg, VA",M,35.82873448185479,49402.54638554299
33,"Bloomington, IL",M,34.20618803869622,64622.25972895224
34,"Bloomington, IN",M,34.74715813797473,57201.088183181244
35,"Berwick, PA",M,39.08614970699886,59029.434024632275
36,"Brunswick, GA",M,39.08614970699886,56915.58477679377
37,"Newton, MANH",M,37.165182125090325,101921.88675151292
38,"Boulder, CO",M,36.69071570910663,98613.2815881641
39,"BowlingGreen, KY",M,34.490818140659684,47732.99297673261
40,"PortOrchard, WA",M,37.709436886026644,74564.9995384469
41,"Norwalk, CT",M,36.99639936064208,140656.94891484623
42,"Harlingen, TX",M,31.388807727425633,41789.07298896116
43,"Cheektowaga, NY",M,38.0803360503688,62747.07861032092
44,"Burlington, NC",M,36.21847341131075,53272.95337993728
45,"Massillon, OH",M,38.21798603619191,57577.796441886545
46,"FortMyers, FL",M,43.91361871916611,69402.89191142285
47,"CapeGirardeau, MOIL",M,36.46533224571751,53501.05610145482
48,"Marion, IL",M,37.034674784674785,53666.97175760257
49,"CarsonCity, NV",M,39.35172550182933,66412.7099171739
50,"Casper, WY",M,35.79877897453715,77225.61465030952
51,"CedarRapids, IA",M,36.65875606592734,65106.108395591385
52,"Urbana, IL",M,33.51999530901841,61002.96025327137
53,"Charleston, WV",M,39.356390989489874,57023.44908671792
54,"Gastonia, NCSC",M,35.08286318116395,68553.13996555813
55,"Charlottesville, VA",M,37.67224563628226,85245.25787308103
56,"Chattanooga, TNGA",M,37.50315415242541,59551.166046516686
57,"Cheyenne, WY",M,36.221823150497755,64519.565368553616
58,"Elgin, ILINWI",M,35.857117029004144,79449.50645325611
59,"Chico, CA",M,36.18193841104354,60302.18354645358
60,"Cincinnati, OHKYIN",M,35.72079321818876,69636.03050092839
61,"Clarksville, TNKY",M,30.850029766737023,52293.01451488781
62,"Cleveland, TN",M,37.4552360542477,50147.09833589656
63,"Elyria, OH",M,37.97701280379795,68453.48163433724
64,"Bryan, TX",M,31.642194778939967,52655.6149745179
65,"ColoradoSprings, CO",M,34.02474898782291,64616.928938310855
66,"Columbia, MO",M,34.05260882929266,59183.52150868162
67,"Columbus, GAAL",M,33.96416091471471,52233.52934418561
68,"Columbus, IN",M,35.67319978863429,67301.53458886457
69,"Columbus, OH",M,34.59379853545511,66031.2340529874
70,"Corvallis, OR",M,36.06634018800191,59672.7462765227
71,"Destin, FL",M,36.87700147997348,71118.96615085189
72,"Arlington, TX",M,33.171010813668154,73608.48157950897
73,"Dalton, GA",M,34.60512439345918,49227.507456329855
74,"Foley, AL",M,39.39012385975159,60396.236073546934
75,"Kettering, OH",M,36.703298694565596,61381.24063984918
76,"Decatur, AL",M,37.168656484998834,51341.79924978001
77,"Decatur, IL",M,37.7122781365501,62557.60886082306
78,"OrmondBeach, FL",M,42.51504806128448,59151.53223750061
79,"Lakewood, CO",M,35.43914027602508,86048.38811181602
80,"Dothan, AL",M,37.37656286295998,54565.108472346794
81,"Dover, DE",M,36.04477712590195,55763.85103724069
82,"Dubuque, IA",M,36.66041781535257,62620.129099848535
83,"Duluth, MNWI",M,38.97485821280291,59127.53402541117
84,"ChapelHill, NC",M,36.71066096186075,70095.80620253024
85,"EauClaire, WI",M,36.70807509921876,60310.40826755932
86,"ElCentro, CA",M,31.902635953455235,52349.005699365924
87,"FortKnox, KY",M,35.134770410430235,55086.25576954118
88,"Goshen, IN",M,33.599405143756925,60648.33960161245
89,"Elmira, NY",M,38.34282473878526,57708.51510041506
90,"ElPaso, TX",M,31.823424627544966,48567.761250922376
