gender,age,income,prediction
M,37,64877,0.94881797
M,34,50530,0.8605786
M,37,58102,0.90897167
M,38,74821,0.9608107
M,36,57656,0.90897167
M,35,57035,0.9084522
M,35,89098,0.7418173
M,37,69073,0.9270455
M,34,61929,0.9274596
M,33,54124,0.87528837
M,33,73708,0.9528833
M,35,75738,0.78451467
M,36,47122,0.86913663
M,36,64211,0.87663233
M,40,60622,0.9030247
M,34,69877,0.8610918
M,38,64409,0.87663233
M,33,49655,0.80695224
M,34,78581,0.8993384
M,31,50502,0.8605786
M,36,77925,0.819691
M,39,55640,0.93309426
M,34,62276,0.9274596
M,36,52736,0.90459013
M,39,55589,0.93309426
M,38,50813,0.8605786
M,37,64112,0.87663233
M,39,74661,0.9608107
M,37,65813,0.93077385
M,38,56565,0.9084522
M,35,65370,0.94881797
M,35,70608,0.9344384
M,35,49402,0.8194163
M,34,64622,0.94881797
M,34,57201,0.9084522
M,39,59029,0.9450275
M,39,56915,0.9084522
M,37,101921,0.6223056
M,36,98613,0.8611508
M,34,47732,0.9021242
M,37,74564,0.9608107
M,36,140656,0.79300815
M,31,41789,0.9569305
M,38,62747,0.9289021
M,36,53272,0.90459013
M,38,57577,0.90897167
M,43,69402,0.9270455
M,36,53501,0.87528837
M,37,53666,0.87528837
M,39,66412,0.93077385
M,35,77225,0.7738398
M,36,65106,0.94881797
M,33,61002,0.9030247
M,39,57023,0.9084522
M,35,68553,0.9270455
M,37,85245,0.664071
M,37,59551,0.908626
M,36,64519,0.94881797
M,35,79449,0.8993384
M,36,60302,0.908626
M,35,69636,0.8610918
M,30,52293,0.93041027
M,37,50147,0.80695224
M,37,68453,0.9299786
M,31,52655,0.90459013
M,34,64616,0.94881797
M,34,59183,0.9450275
M,33,52233,0.93041027
M,35,67301,0.9085907
M,34,66031,0.93077385
M,36,59672,0.908626
M,36,71118,0.9344384
M,33,73608,0.9528833
M,34,49227,0.8194163
M,39,60396,0.908626
M,36,61381,0.9030247
M,37,51341,0.8605786
M,37,62557,0.9289021
M,42,59151,0.9450275
M,35,86048,0.66289264
M,37,54565,0.9486211
M,36,55763,0.93309426
M,36,62620,0.9289021
M,38,59127,0.9450275
M,36,70095,0.8610918
M,36,60310,0.908626
M,31,52349,0.93041027
M,35,55086,0.9486211
M,33,60648,0.9030247
M,38,57708,0.90897167
M,31,48567,0.8194163
M,34,53792,0.87528837
M,37,58152,0.90897167
M,38,60851,0.9030247
M,36,62542,0.9289021
M,32,71369,0.9344384
M,33,68269,0.9299786
M,34,46033,0.86679035
M,31,50226,0.80695224
M,33,77764,0.819691
M,34,62787,0.9289021
M,36,54604,0.9486211
M,36,55853,0.93309426
M,34,49325,0.8194163
M,34,47950,0.9021242
M,36,49796,0.80695224
M,34,60270,0.908626
M,31,56642,0.9084522
M,37,47019,0.86913663
M,35,55939,0.93309426
M,35,59415,0.9450275
M,39,61493,0.9030247
M,35,55066,0.9486211
M,34,57724,0.90897167
M,38,57474,0.9084522
M,34,63533,0.87663233
M,41,60143,0.908626
M,35,59312,0.9450275
M,35,59112,0.9450275
M,33,62213,0.9274596
M,36,57388,0.9084522
M,33,58980,0.9450275
M,36,56237,0.93309426
M,36,49109,0.8194163
M,34,52015,0.93041027
M,37,66749,0.9085907
M,35,52130,0.93041027
M,34,49290,0.8194163
M,38,53500,0.87528837
M,42,73136,0.9027615
M,29,45132,0.9219512
M,40,51839,0.93041027
M,35,54737,0.9486211
M,36,63766,0.87663233
M,34,72629,0.9027615
M,35,56693,0.9084522
M,37,52202,0.93041027
M,35,57491,0.9084522
M,36,53914,0.87528837
M,28,55414,0.9486211
M,36,58211,0.90897167
M,36,56371,0.93309426
M,39,53256,0.90459013
M,40,54542,0.9486211
M,33,49218,0.8194163
M,35,48863,0.8194163
M,38,64506,0.94881797
M,34,64603,0.94881797
M,32,57298,0.9084522
M,31,52626,0.90459013
M,40,66744,0.9085907
M,37,51962,0.93041027
M,37,64463,0.87663233
M,34,57699,0.90897167
M,35,56369,0.93309426
M,45,45471,0.9219512
M,36,67916,0.9299786
M,36,55540,0.93309426
M,28,45055,0.9219512
M,34,49703,0.80695224
M,33,56994,0.9084522
M,33,52476,0.93041027
M,39,58014,0.90897167
M,37,54925,0.9486211
M,36,55395,0.9486211
M,34,62620,0.9289021
M,35,58768,0.9450275
M,28,51660,0.93041027
M,35,53855,0.87528837
M,37,60112,0.908626
M,32,56310,0.93309426
M,37,52353,0.93041027
M,35,76139,0.78451467
M,37,79148,0.8993384
M,29,56143,0.93309426
M,34,58944,0.9450275
M,37,50976,0.8605786
M,29,38071,0.9662938
M,39,62743,0.9289021
M,34,62608,0.9289021
M,30,51248,0.8605786
M,38,81186,0.81334573
M,38,68416,0.9299786
M,30,138020,0.79300815
M,36,72651,0.9027615
M,35,79256,0.8993384
M,36,68150,0.9299786
M,35,51364,0.8605786
M,32,57701,0.90897167
M,35,51816,0.93041027
M,35,54586,0.9486211
M,35,54934,0.9486211
M,38,48828,0.8194163
M,38,70648,0.9344384
M,36,50119,0.80695224
M,36,51478,0.8605786
M,39,99811,0.70476395
M,34,77323,0.7738398
M,37,71458,0.9344384
M,36,67807,0.9299786
M,38,65830,0.93077385
M,46,76716,0.7738398
M,46,58107,0.90897167
M,42,49932,0.80695224
M,29,58936,0.9450275
M,31,57542,0.90897167
M,34,63039,0.9289021
M,36,67387,0.9085907
M,35,70630,0.9344384
M,36,58615,0.9450275
