Count,City,State/Province,Longitude,Latitude
1,Aberdeen, NC,-79.42,35.16
2,Aberdeen, SD,-98.44,45.46
2,Aberdeen, WA,-123.8,46.98
6,Abilene, TX,-99.76,32.4
2,Abingdon, MD,-76.32,39.46
1,Abington, MA,-70.93,42.11
2,Abington, PA,-75.09,40.09
1,Absecon, NJ,-74.49,39.46
1,Accokeek, MD,-77.02,38.66
1,Acton, MA,-71.45,42.47
2,Acworth, GA,-84.68,34.04
1,Addison, IL,-88.03,41.95
3,Addison, TX,-96.85,32.94
1,Adelanto, CA,-117.4,34.51
1,Adrian, MI,-84.03,41.87
1,Affton, MO,-90.33,38.55
1,Agoura Hills, CA,-118.76,34.15
1,Agoura, CA,-118.76,34.16
1,Ahaheim, CA,-117.75,33.87
5,Aiea, HI,-157.93,21.38
3,Aiken, SC,-81.77,33.57
1,Airway Heights, WA,-117.56,47.64
10,Akron, OH,-81.51,41.08
3,Alabaster, AL,-86.81,33.23
7,Alameda, CA,-122.28,37.79
2,Alamo, CA,-122.03,37.85
1,Alamogordo, NM,-105.95,32.9
1,Alamosa, CO,-105.88,37.47
1,Albany, CA,-122.31,37.88
3,Albany, GA,-84.22,31.61
11,Albany, NY,-73.82,42.71
5,Albany, OR,-123.08,44.63
37,Albuquerque, NM,-106.69,35.18
2,Alcoa, TN,-83.99,35.81
1,Aldie, VA,-77.55,38.94
2,Alexandria, LA,-92.47,31.28
1,Alexandria, MN,-95.39,45.85
25,Alexandria, VA,-77.06,38.8
3,Algonquin, IL,-88.34,42.17
6,Alhambra, CA,-118.14,34.09
4,Aliso Viejo, CA,-117.71,33.57
2,Allen Park, MI,-83.22,42.28
9,Allen, TX,-96.68,33.09
2,Allendale, MI,-85.89,42.96
1,Allendale, NJ,-74.13,41.03
7,Allentown, PA,-75.44,40.65
1,Alliance, OH,-81.15,40.9
1,Alma, MI,-84.67,43.38
2,Aloha, OR,-122.86,45.48
17,Alpharetta, GA,-84.36,34.08
1,Alpine, CA,-116.75,32.83
6,Altamonte Springs, FL,-81.39,28.69
2,Altoona, IA,-93.5,41.64
2,Alvin, TX,-95.25,29.4
4,Amarillo, TX,-101.8,35.19
1,Amelia, OH,-84.23,39.04
2,American Canyon, CA,-122.25,38.17
1,American Fork, UT,-111.79,40.37
5,Ames, IA,-93.62,42.02
1,Amherst, MA,-72.52,42.38
5,Amherst, NY,-78.82,42.99
3,Amherst, OH,-82.22,41.38
2,Amityville, NY,-73.41,40.67
1,Amsterdam, NY,-74.19,42.96
2,Anacortes, WA,-122.61,48.51
4,Anaheim Hills, CA,-117.79,33.85
19,Anaheim, CA,-117.89,33.85
24,Anchorage, AK,-149.78,61.21
2,Anderson, CA,-122.29,40.45
2,Anderson, IN,-85.66,40.14
2,Anderson, SC,-82.68,34.55
1,Andover, KS,-97.13,37.7
1,Andover, MA,-71.14,42.66
1,Andover, MN,-93.32,45.22
1,Andrews Afb, MD,-76.88,38.82
1,Angels Camp, CA,-120.56,38.08
4,Ankeny, IA,-93.6,41.73
1,Ann Arbor East, MI,-83.68,42.24
14,Ann Arbor, MI,-83.77,42.24
2,Annandale, VA,-77.18,38.81
10,Annapolis, MD,-76.52,38.98
1,Anoka, MN,-93.36,45.21
1,Ansonia, CT,-73.08,41.34
1,Antelope, CA,-121.37,38.71
3,Anthem, AZ,-112.13,33.84
7,Antioch, CA,-121.78,37.97
